outcome,repr,learner,mean,sd,vs_late
cv_first,cca,plain,0.7785063009636767,0.009184496380959431,-0.02885285396590087
cv_first,cca,ridge_var,0.7901111934766494,0.011741548001798632,-0.017247961452928173
cv_first,cca,gb,0.7571942179392142,0.009779232025411056,-0.050164936990363396
cv_first,cca,rf,0.7964899925871015,0.008661315901826313,-0.010869162342476035
cv_first,cca,catboost,0.7788435878428466,0.01929815942367218,-0.028515567086730975
cv_first,cca_aug,l2,0.7886860637509265,0.020094027428727193,-0.018673091178651013
cv_first,cca_aug,plain,0.6869996293550779,0.048220934198266736,-0.12035952557449969
cv_first,cca_aug,ridge_var,0.7886860637509265,0.020094027428727193,-0.018673091178651013
cv_first,cca_aug,gb,0.7807783543365455,0.01414254397294296,-0.026580800593032028
cv_first,cca_aug,rf,0.812616753150482,0.005056623618019044,0.005257598220904436
cv_first,cca_aug,catboost,0.7963769458858414,0.008678670342385002,-0.010982209043736146
