outcome,test,mode,learner,reg,k,mean,sd,lo,hi,vs_late,sig
cv_first,boot,ccaaug,gb,0.1,10.0,-0.028082308018048965,,-0.059363231950039966,0.005660840742850341,-0.028082308018048965,0.0
cv_first,grid,ccaaug,rf,0.01,2.0,0.7968031875463306,0.010798051385686644,0.7788825055596739,0.8054299481097109,-0.00956449221645661,
cv_first,grid,ccaaug,rf,0.1,2.0,0.8004336545589326,0.00801522697175141,0.7868143068939956,0.8063750926612305,-0.005934025203854665,
cv_first,grid,ccaaug,rf,0.5,2.0,0.7996849518161602,0.00781476219664945,0.7893254262416605,0.8082561156412158,-0.006682727946627054,
cv_first,grid,ccaaug,rf,0.01,5.0,0.804760934025204,0.012745568933881676,0.7828576723498889,0.8144366197183099,-0.0016067457375832372,
cv_first,grid,ccaaug,rf,0.1,5.0,0.8092605633802815,0.009974671803145265,0.7924666419570051,0.8164659006671608,0.0028928836174942907,
cv_first,grid,ccaaug,rf,0.5,5.0,0.8060581912527798,0.010336690245226375,0.7923461823573017,0.8175963676797627,-0.0003094885100074496,
cv_first,grid,ccaaug,rf,0.01,10.0,0.8088917716827279,0.006295314941717615,0.7982487027427725,0.8135841363973313,0.0025240919199406298,
cv_first,grid,ccaaug,rf,0.1,10.0,0.812616753150482,0.005056623618019044,0.8043458117123795,0.8179484803558191,0.006249073387694759,
cv_first,grid,ccaaug,rf,0.5,10.0,0.8078057820607857,0.009538369020977742,0.7976186063750926,0.8178187546330615,0.001438102297998456,
cv_first,grid,ccaaug,rf,0.01,20.0,0.8051297257227576,0.010916902056901184,0.7888621200889548,0.8173925129725722,-0.0012379540400295763,
cv_first,grid,ccaaug,rf,0.1,20.0,0.8092976278724981,0.009895060220905673,0.7929762787249816,0.8186063750926612,0.0029299481097109226,
cv_first,grid,ccaaug,rf,0.5,20.0,0.8053076352853967,0.011952062115309947,0.7872683469236471,0.8167531504818384,-0.0010600444773904982,
PERMUTED,perm,ccaaug,rf,0.1,10.0,0.48114256511908815,0.03540128259597008,0.4380555641589494,0.5189317682039211,,
