outcome,sparse_k,measure,temp,amp,mean,sd,vs_pool,spread
death_30d_inhosp,5.0,tertile,20.0,0.25,0.8836189574783356,0.010053298023176309,-0.020181042521664416,0.07927594271897545
death_30d_inhosp,5.0,tertile,-1.0,0.0,0.6143251693186138,0.006311328435821438,-0.28947483068138624,0.07927594271897545
death_30d_inhosp,5.0,tertile,-1.0,0.1,0.6143251693186138,0.006311328435821438,-0.28947483068138624,0.07927594271897545
death_30d_inhosp,5.0,tertile,-1.0,0.25,0.6143251693186138,0.006311328435821438,-0.28947483068138624,0.07927594271897545
death_30d_inhosp,5.0,local,1.0,0.0,0.9064926803155959,0.003637146867429344,0.0026926803155958856,0.0921844734848256
death_30d_inhosp,5.0,local,1.0,0.1,0.9064926803155959,0.003637146867429344,0.0026926803155958856,0.0921844734848256
death_30d_inhosp,5.0,local,1.0,0.25,0.9064926803155959,0.003637146867429344,0.0026926803155958856,0.0921844734848256
death_30d_inhosp,5.0,local,2.0,0.0,0.9067207658709531,0.0039288667386971005,0.0029207658709530238,0.0921844734848256
death_30d_inhosp,5.0,local,2.0,0.1,0.9067207658709531,0.0039288667386971005,0.0029207658709530238,0.0921844734848256
death_30d_inhosp,5.0,local,2.0,0.25,0.9067207658709531,0.0039288667386971005,0.0029207658709530238,0.0921844734848256
death_30d_inhosp,5.0,local,5.0,0.0,0.9031024290335845,0.005732422901936728,-0.0006975709664155394,0.0921844734848256
death_30d_inhosp,5.0,local,5.0,0.1,0.9031024290335845,0.005732422901936728,-0.0006975709664155394,0.0921844734848256
death_30d_inhosp,5.0,local,5.0,0.25,0.9031024290335845,0.005732422901936728,-0.0006975709664155394,0.0921844734848256
death_30d_inhosp,5.0,local,10.0,0.0,0.8848912714606009,0.007035868151044185,-0.018908728539399178,0.0921844734848256
death_30d_inhosp,5.0,local,10.0,0.1,0.8848912714606009,0.007035868151044185,-0.018908728539399178,0.0921844734848256
death_30d_inhosp,5.0,local,10.0,0.25,0.8848912714606009,0.007035868151044185,-0.018908728539399178,0.0921844734848256
death_30d_inhosp,5.0,local,20.0,0.0,0.8736918052118325,0.008173074018172861,-0.03010819478816751,0.0921844734848256
death_30d_inhosp,5.0,local,20.0,0.1,0.8736918052118325,0.008173074018172861,-0.03010819478816751,0.0921844734848256
death_30d_inhosp,5.0,local,20.0,0.25,0.8736918052118325,0.008173074018172861,-0.03010819478816751,0.0921844734848256
death_30d_inhosp,5.0,local,-1.0,0.0,0.5719516831007223,0.02724495674629757,-0.33184831689927774,0.0921844734848256
death_30d_inhosp,5.0,local,-1.0,0.1,0.5719516831007223,0.02724495674629757,-0.33184831689927774,0.0921844734848256
death_30d_inhosp,5.0,local,-1.0,0.25,0.5719516831007223,0.02724495674629757,-0.33184831689927774,0.0921844734848256
death_30d_inhosp,10.0,tcp,1.0,0.0,0.9064709578817525,0.00362073746511674,0.0026709578817524227,0.10467210487418314
death_30d_inhosp,10.0,tcp,1.0,0.1,0.9064709578817525,0.00362073746511674,0.0026709578817524227,0.10467210487418314
death_30d_inhosp,10.0,tcp,1.0,0.25,0.9064709578817525,0.00362073746511674,0.0026709578817524227,0.10467210487418314
death_30d_inhosp,10.0,tcp,2.0,0.0,0.9067052498467791,0.0038049098901134512,0.00290524984677909,0.10467210487418314
